devAddr,deduplicationId,time,deviceInfo.deviceClassEnabled,deviceInfo.tenantName,deviceInfo.deviceName,deviceInfo.devEui,deviceInfo.tags.Description,deviceInfo.tags.Address,data,fPort,confirmed,adr,dr,batteryLevel,margin,co2_decoded,temperature_decoded,humidity_decoded,latitude,longitude,description
01f5c530,c86ff42d-fe77-44c2-a0ba-6a9525e8844c,2024-11-15T20:17:13.872+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6993,24e124126d376993,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,/wv//wEB,85,FALSE,TRUE,2,,,,,,-17.3844962748556,-66.1353062672603,
01f5c530,cd9560c1-17b5-4f97-b1e2-9aa46aec0175,2024-11-15T20:17:20.519+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6993,24e124126d376993,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,/xZhJtN2mTRgAP8JAhD/CgEG,85,FALSE,TRUE,5,,,,,,-17.3844962748556,-66.1353062672603,
01f5c530,1c2bff86-d03a-49f0-b4c1-8c3a95c48bac,2024-11-15T20:17:38.714+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6993,24e124126d376993,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,AXVgBX2YAQZzIhwDZxIBBGg8,85,FALSE,TRUE,5,,,,,60.0,-17.3844962748556,-66.1353062672603,
01f5c530,062f672c-0788-44b3-a081-9c07225ae81b,2024-11-15T20:28:04.358+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6993,24e124126d376993,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,BX2YAQZzIBwDZyMBBGg4,85,FALSE,TRUE,5,,,,,56.0,-17.3844962748556,-66.1353062672603,
019a6028,3ceadb9f-32d3-44ca-b592-06b88fd47066,2024-11-15T20:37:37.803+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6962,24e124126d376962,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,/wv//wEB,85,FALSE,TRUE,2,,,,,,-17.39376724156353,-66.15695114772511,
019a6028,9deca20c-06fd-4e7a-943d-c48643d0be16,2024-11-15T20:37:44.734+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6962,24e124126d376962,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,/xZhJtN2liBgBw==,85,FALSE,TRUE,2,,,,,,-17.39376724156353,-66.15695114772511,
019a6028,8da292be-72f0-4291-a77d-a6c8b193329b,2024-11-15T20:38:03.016+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6962,24e124126d376962,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,/wkCEP8KAQY=,85,FALSE,TRUE,5,,,,,,-17.39376724156353,-66.15695114772511,
019a6028,da2e84e9-b3e6-4b49-9490-cd5431fd73ab,2024-11-15T20:38:21.117+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6962,24e124126d376962,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,AXVjBX1wAQZzDB0DZwABBGhD,85,FALSE,TRUE,5,,,,,67.0,-17.39376724156353,-66.15695114772511,
01f5c530,accdf579-ef2f-4aa4-9608-9b7bc0b97e97,2024-11-15T20:43:06.155+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6993,24e124126d376993,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,BX2gAQZzIBwDZygBBGg0,85,FALSE,TRUE,5,,,,,52.0,-17.3844962748556,-66.1353062672603,
019a6028,49250bfc-706d-4cda-b821-459dbd1e818e,2024-11-15T20:49:48.266+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,EMS-6962,24e124126d376962,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,BX1wAQZzDB0DZwMBBGhC,85,FALSE,TRUE,5,,,,,66.0,-17.39376724156353,-66.15695114772511,
